version,term_localName
http://rs.tdwg.org/acsubtype/values/version/Drawing-2020-08-25,Drawing
http://rs.tdwg.org/acsubtype/values/version/Painting-2020-08-25,Painting
http://rs.tdwg.org/acsubtype/values/version/Logo-2020-08-25,Logo
http://rs.tdwg.org/acsubtype/values/version/Icon-2020-08-25,Icon
http://rs.tdwg.org/acsubtype/values/version/Illustration-2020-08-25,Illustration
http://rs.tdwg.org/acsubtype/values/version/Graphic-2020-08-25,Graphic
http://rs.tdwg.org/acsubtype/values/version/Photograph-2020-08-25,Photograph
http://rs.tdwg.org/acsubtype/values/version/Animation-2020-08-25,Animation
http://rs.tdwg.org/acsubtype/values/version/Film-2020-08-25,Film
http://rs.tdwg.org/acsubtype/values/version/SlideShow-2020-08-25,SlideShow
http://rs.tdwg.org/acsubtype/values/version/DesignPlan-2020-08-25,DesignPlan
http://rs.tdwg.org/acsubtype/values/version/Diagram-2020-08-25,Diagram
http://rs.tdwg.org/acsubtype/values/version/Map-2020-08-25,Map
http://rs.tdwg.org/acsubtype/values/version/MusicalNotation-2020-08-25,MusicalNotation
http://rs.tdwg.org/acsubtype/values/version/IdentificationKey-2020-08-25,IdentificationKey
http://rs.tdwg.org/acsubtype/values/version/ScannedText-2020-08-25,ScannedText
http://rs.tdwg.org/acsubtype/values/version/RecordedText-2020-08-25,RecordedText
http://rs.tdwg.org/acsubtype/values/version/RecordedOrganism-2020-08-25,RecordedOrganism
http://rs.tdwg.org/acsubtype/values/version/TaxonPage-2020-08-25,TaxonPage
http://rs.tdwg.org/acsubtype/values/version/MultimediaLearningObject-2020-08-25,MultimediaLearningObject
http://rs.tdwg.org/acsubtype/values/version/VirtualRealityEnvironment-2020-08-25,VirtualRealityEnvironment
http://rs.tdwg.org/acsubtype/values/version/GlossaryPage-2020-08-25,GlossaryPage
