version,term_localName
http://rs.tdwg.org/format/values/version/m-2020-07-07,m
http://rs.tdwg.org/format/values/version/e-2020-07-07,e
http://rs.tdwg.org/format/values/version/m001-2020-07-07,m001
http://rs.tdwg.org/format/values/version/m002-2020-07-07,m002
http://rs.tdwg.org/format/values/version/m003-2020-07-07,m003
http://rs.tdwg.org/format/values/version/m004-2020-07-07,m004
http://rs.tdwg.org/format/values/version/m005-2020-07-07,m005
http://rs.tdwg.org/format/values/version/m006-2020-07-07,m006
http://rs.tdwg.org/format/values/version/m007-2020-07-07,m007
http://rs.tdwg.org/format/values/version/m008-2020-07-07,m008
http://rs.tdwg.org/format/values/version/m009-2020-07-07,m009
http://rs.tdwg.org/format/values/version/m010-2020-07-07,m010
http://rs.tdwg.org/format/values/version/m011-2020-07-07,m011
http://rs.tdwg.org/format/values/version/m012-2020-07-07,m012
http://rs.tdwg.org/format/values/version/m013-2020-07-07,m013
http://rs.tdwg.org/format/values/version/m014-2020-07-07,m014
http://rs.tdwg.org/format/values/version/m015-2020-07-07,m015
http://rs.tdwg.org/format/values/version/m016-2020-07-07,m016
http://rs.tdwg.org/format/values/version/m017-2020-07-07,m017
http://rs.tdwg.org/format/values/version/m018-2020-07-07,m018
http://rs.tdwg.org/format/values/version/m019-2020-07-07,m019
http://rs.tdwg.org/format/values/version/m020-2020-07-07,m020
http://rs.tdwg.org/format/values/version/m021-2020-07-07,m021
http://rs.tdwg.org/format/values/version/m022-2020-07-07,m022
http://rs.tdwg.org/format/values/version/m023-2020-07-07,m023
http://rs.tdwg.org/format/values/version/m024-2020-07-07,m024
http://rs.tdwg.org/format/values/version/m025-2020-07-07,m025
http://rs.tdwg.org/format/values/version/m026-2020-07-07,m026
http://rs.tdwg.org/format/values/version/m027-2020-07-07,m027
http://rs.tdwg.org/format/values/version/m028-2020-07-07,m028
http://rs.tdwg.org/format/values/version/m029-2020-07-07,m029
http://rs.tdwg.org/format/values/version/m030-2020-07-07,m030
http://rs.tdwg.org/format/values/version/m031-2020-07-07,m031
http://rs.tdwg.org/format/values/version/m032-2020-07-07,m032
http://rs.tdwg.org/format/values/version/m033-2020-07-07,m033
http://rs.tdwg.org/format/values/version/m034-2020-07-07,m034
http://rs.tdwg.org/format/values/version/m035-2020-07-07,m035
http://rs.tdwg.org/format/values/version/m036-2020-07-07,m036
http://rs.tdwg.org/format/values/version/m037-2020-07-07,m037
http://rs.tdwg.org/format/values/version/m038-2020-07-07,m038
http://rs.tdwg.org/format/values/version/m039-2020-07-07,m039
http://rs.tdwg.org/format/values/version/m040-2020-07-07,m040
http://rs.tdwg.org/format/values/version/m041-2020-07-07,m041
http://rs.tdwg.org/format/values/version/m042-2020-07-07,m042
http://rs.tdwg.org/format/values/version/m043-2020-07-07,m043
http://rs.tdwg.org/format/values/version/m044-2020-07-07,m044
http://rs.tdwg.org/format/values/version/m045-2020-07-07,m045
http://rs.tdwg.org/format/values/version/m046-2020-07-07,m046
http://rs.tdwg.org/format/values/version/m047-2020-07-07,m047
http://rs.tdwg.org/format/values/version/m048-2020-07-07,m048
http://rs.tdwg.org/format/values/version/m049-2020-07-07,m049
http://rs.tdwg.org/format/values/version/m050-2020-07-07,m050
http://rs.tdwg.org/format/values/version/m051-2020-07-07,m051
http://rs.tdwg.org/format/values/version/m052-2020-07-07,m052
http://rs.tdwg.org/format/values/version/m053-2020-07-07,m053
http://rs.tdwg.org/format/values/version/m054-2020-07-07,m054
http://rs.tdwg.org/format/values/version/m055-2020-07-07,m055
http://rs.tdwg.org/format/values/version/m056-2020-07-07,m056
http://rs.tdwg.org/format/values/version/m057-2020-07-07,m057
http://rs.tdwg.org/format/values/version/m058-2020-07-07,m058
http://rs.tdwg.org/format/values/version/m059-2020-07-07,m059
http://rs.tdwg.org/format/values/version/m060-2020-07-07,m060
http://rs.tdwg.org/format/values/version/m061-2020-07-07,m061
http://rs.tdwg.org/format/values/version/m062-2020-07-07,m062
http://rs.tdwg.org/format/values/version/m063-2020-07-07,m063
http://rs.tdwg.org/format/values/version/m064-2020-07-07,m064
http://rs.tdwg.org/format/values/version/m065-2020-07-07,m065
http://rs.tdwg.org/format/values/version/m066-2020-07-07,m066
http://rs.tdwg.org/format/values/version/m067-2020-07-07,m067
http://rs.tdwg.org/format/values/version/m068-2020-07-07,m068
http://rs.tdwg.org/format/values/version/m069-2020-07-07,m069
http://rs.tdwg.org/format/values/version/m070-2020-07-07,m070
http://rs.tdwg.org/format/values/version/m071-2020-07-07,m071
http://rs.tdwg.org/format/values/version/m072-2020-07-07,m072
http://rs.tdwg.org/format/values/version/e001-2020-07-07,e001
http://rs.tdwg.org/format/values/version/e002-2020-07-07,e002
http://rs.tdwg.org/format/values/version/e003-2020-07-07,e003
http://rs.tdwg.org/format/values/version/e004-2020-07-07,e004
http://rs.tdwg.org/format/values/version/e005-2020-07-07,e005
http://rs.tdwg.org/format/values/version/e006-2020-07-07,e006
http://rs.tdwg.org/format/values/version/e007-2020-07-07,e007
http://rs.tdwg.org/format/values/version/e008-2020-07-07,e008
http://rs.tdwg.org/format/values/version/e009-2020-07-07,e009
http://rs.tdwg.org/format/values/version/e010-2020-07-07,e010
http://rs.tdwg.org/format/values/version/e011-2020-07-07,e011
http://rs.tdwg.org/format/values/version/e012-2020-07-07,e012
http://rs.tdwg.org/format/values/version/e013-2020-07-07,e013
http://rs.tdwg.org/format/values/version/e014-2020-07-07,e014
http://rs.tdwg.org/format/values/version/e015-2020-07-07,e015
http://rs.tdwg.org/format/values/version/e016-2020-07-07,e016
http://rs.tdwg.org/format/values/version/e017-2020-07-07,e017
http://rs.tdwg.org/format/values/version/e018-2020-07-07,e018
http://rs.tdwg.org/format/values/version/e019-2020-07-07,e019
http://rs.tdwg.org/format/values/version/e020-2020-07-07,e020
http://rs.tdwg.org/format/values/version/e021-2020-07-07,e021
http://rs.tdwg.org/format/values/version/e022-2020-07-07,e022
http://rs.tdwg.org/format/values/version/e023-2020-07-07,e023
http://rs.tdwg.org/format/values/version/e024-2020-07-07,e024
http://rs.tdwg.org/format/values/version/e025-2020-07-07,e025
http://rs.tdwg.org/format/values/version/e026-2020-07-07,e026
http://rs.tdwg.org/format/values/version/e027-2020-07-07,e027
http://rs.tdwg.org/format/values/version/e028-2020-07-07,e028
http://rs.tdwg.org/format/values/version/e029-2020-07-07,e029
http://rs.tdwg.org/format/values/version/e030-2020-07-07,e030
http://rs.tdwg.org/format/values/version/e031-2020-07-07,e031
http://rs.tdwg.org/format/values/version/e032-2020-07-07,e032
http://rs.tdwg.org/format/values/version/e033-2020-07-07,e033
http://rs.tdwg.org/format/values/version/e034-2020-07-07,e034
http://rs.tdwg.org/format/values/version/e035-2020-07-07,e035
http://rs.tdwg.org/format/values/version/e036-2020-07-07,e036
http://rs.tdwg.org/format/values/version/e037-2020-07-07,e037
http://rs.tdwg.org/format/values/version/e038-2020-07-07,e038
http://rs.tdwg.org/format/values/version/e039-2020-07-07,e039
http://rs.tdwg.org/format/values/version/e040-2020-07-07,e040
http://rs.tdwg.org/format/values/version/e041-2020-07-07,e041
http://rs.tdwg.org/format/values/version/e042-2020-07-07,e042
http://rs.tdwg.org/format/values/version/e043-2020-07-07,e043
http://rs.tdwg.org/format/values/version/e044-2020-07-07,e044
http://rs.tdwg.org/format/values/version/e045-2020-07-07,e045
http://rs.tdwg.org/format/values/version/e046-2020-07-07,e046
http://rs.tdwg.org/format/values/version/e047-2020-07-07,e047
http://rs.tdwg.org/format/values/version/e048-2020-07-07,e048
