replacing_version,replaced_version_localName
http://rs.tdwg.org/plic/terms/version/created-2022-06-14,created-2022-02-23
http://rs.tdwg.org/plic/terms/version/References-2022-06-14,References-2022-02-23
http://rs.tdwg.org/plic/terms/version/modified-2022-06-14,modified-2022-02-23
http://rs.tdwg.org/plic/terms/version/startValidDate-2022-06-14,startValidDate-2022-02-23
http://rs.tdwg.org/plic/terms/version/endValidDate-2022-06-14,endValidDate-2022-02-23
http://rs.tdwg.org/plic/terms/version/language-2022-06-14,language-2022-02-23
http://rs.tdwg.org/plic/terms/version/language-2022-06-14,language-2022-02-23
http://rs.tdwg.org/plic/terms/version/citation-2022-06-14,citation-2022-02-23
http://rs.tdwg.org/plic/terms/version/memo-2022-06-14,memo-2022-02-23
http://rs.tdwg.org/plic/terms/version/publicationDate-2022-06-14,publicationDate-2022-02-23
http://rs.tdwg.org/plic/terms/version/AnnualCycleAtomized-2022-06-14,AnnualCycleAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/AnnualCycleUnstructured-2022-06-14,AnnualCycleUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/StartTimeInterval-2022-06-14,StartTimeInterval-2022-02-23
http://rs.tdwg.org/plic/terms/version/EndTimeInterval -2022-06-14,EndTimeInterval -2022-02-23
http://rs.tdwg.org/plic/terms/version/Event-2022-06-14,Event-2022-02-23
http://rs.tdwg.org/plic/terms/version/abstract-2022-06-14,abstract-2022-02-23
http://rs.tdwg.org/plic/terms/version/taxonRecordID-2022-06-14,taxonRecordID-2022-02-23
http://rs.tdwg.org/plic/terms/version/commonNamesAtomized-2022-06-14,commonNamesAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/commonNames-2022-06-14,commonNames-2022-02-23
http://rs.tdwg.org/plic/terms/version/Name-2022-06-14,Name-2022-02-23
http://rs.tdwg.org/plic/terms/version/Language-2022-06-14,Language-2022-02-23
http://rs.tdwg.org/plic/terms/version/UsedIn-2022-06-14,UsedIn-2022-02-23
http://rs.tdwg.org/plic/terms/version/UsedBy-2022-06-14,UsedBy-2022-02-23
http://rs.tdwg.org/plic/terms/version/commonNamesUnstructured-2022-06-14,commonNamesUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/demographyAndThreatUnstructured-2022-06-14,demographyAndThreatUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/Legislation-2022-06-14,Legislation-2022-02-23
http://rs.tdwg.org/plic/terms/version/territory-2022-06-14,territory-2022-02-23
http://rs.tdwg.org/plic/terms/version/ThreatStatus-2022-06-14,ThreatStatus-2022-02-23
http://rs.tdwg.org/plic/terms/version/PopulationBiology-2022-06-14,PopulationBiology-2022-02-23
http://rs.tdwg.org/plic/terms/version/DispersalAtomized-2022-06-14,DispersalAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/legislationAtomized-2022-06-14,legislationAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/legislationUnstructured-2022-06-14,legislationUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/LegislationType-2022-06-14,LegislationType-2022-02-23
http://rs.tdwg.org/plic/terms/version/LegislationName-2022-06-14,LegislationName-2022-02-23
http://rs.tdwg.org/plic/terms/version/ProtectionLegalStatus-2022-06-14,ProtectionLegalStatus-2022-02-23
http://rs.tdwg.org/plic/terms/version/LegislationRead-2022-06-14,LegislationRead-2022-02-23
http://rs.tdwg.org/plic/terms/version/Status-2022-06-14,Status-2022-02-23
http://rs.tdwg.org/plic/terms/version/Type-2022-06-14,Type-2022-02-23
http://rs.tdwg.org/plic/terms/version/Type-2022-06-14,Type-2022-02-23
http://rs.tdwg.org/plic/terms/version/Type-2022-06-14,Type-2022-02-23
http://rs.tdwg.org/plic/terms/version/Norm-2022-06-14,Norm-2022-02-23
http://rs.tdwg.org/plic/terms/version/AppliesTo-2022-06-14,AppliesTo-2022-02-23
http://rs.tdwg.org/plic/terms/version/AppliesTo-2022-06-14,AppliesTo-2022-02-23
http://rs.tdwg.org/plic/terms/version/DispersalUnstructured-2022-06-14,DispersalUnstructured-2022-02-23
