document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,type,controlled value string,tdwgutility_organizedInClass,equivalentXPath,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,term_localName
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/References-2022-11-08,References-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,References,"Term borrowed from EOL (EOL: referenceType). It represents the references that an element could have, in one or more of the different format and schemas: BICI, CODEN,DOI, EISSN, HANDLE, ISBN, ISSN, LSID, OCLC, SICI, URL, URN",,eol:referenceType,http://www.w3.org/2000/01/rdf-schema#Class,,Metadata,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,References
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/AnnualCycleUnstructured-2022-11-08,AnnualCycleUnstructured-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Unstructured Annual Cycle,AnnualCyles element in text block format. ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,AnnualCycleUnstructured
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/StartTimeInterval-2022-11-08,StartTimeInterval-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Start Time Interval,"The date-time or interval at which an event starts. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).   A controlled vocabulary is recommended.",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"e.g. ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleAtomized/startTimeInterval,,,,plic,plic,http://rs.tdwg.org/plic/terms/,StartTimeInterval
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/EndTimeInterval-2022-11-08,EndTimeInterval-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,End Time Interval,"The date-time or interval at which an event ends. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).  A controlled vocabulary is recommended.",,"e.g. ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleAtomized/endTimeInterval,,,,plic,plic,http://rs.tdwg.org/plic/terms/,EndTimeInterval
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/Event-2022-11-08,Event-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Event,An action that occurs at some location during some time.  A controlled vocabulary is recommended.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,/Dataset/TaxonRecord/NaturalHistory/AnnualCycles/AnnualCycleAtomized/Event,,,,plic,plic,http://rs.tdwg.org/plic/terms/,Event
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/abstract-2022-11-08,abstract-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Abstract,A brief summary of the most relevant or attractive features of this taxon to the general public.  Could point to any kind of information. ,,Example: Blue whale is the largest mammal in the world. ,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/TaxonRecord/BaseElements/Abstract,,,,plic,plic,http://rs.tdwg.org/plic/terms/,abstract
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/taxonRecordID-2022-11-08,taxonRecordID-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Taxon Record id,Unique identifier of the record within the database.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/TaxonRecord/BaseElements/TaxonRecordID|/Dataset/TaxonRecord/NomenclatureAndClassification/Hierarchy/ParentTaxon/TaxonRecordID,,,,plic,plic,http://rs.tdwg.org/plic/terms/,taxonRecordID
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/Name-2022-11-08,Name-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Name,The name of the common name. ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/Name,,,,plic,plic,http://rs.tdwg.org/plic/terms/,Name
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/UsedBy-2022-11-08,UsedBy-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Used By,Sometimes names used by one group of people are adopted by another.  ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property   ,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedBy,,,,plic,plic,http://rs.tdwg.org/plic/terms/,UsedBy
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/commonNamesUnstructured-2022-11-08,commonNamesUnstructured-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,unstructured common names,CommonNames element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,commonNamesUnstructured
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/demographyAndThreatUnstructured-2022-11-08,demographyAndThreatUnstructured-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Unstructured Demography And Threat,demographyAndThreat element in unstructured format. ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/DemographyAndThreatUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,demographyAndThreatUnstructured
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/legislationUnstructured-2022-11-08,legislationUnstructured-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Unstructured Legislation,legislation element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,legislationUnstructured
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/LegislationName-2022-11-08,LegislationName-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Legislation Name,Word or phrase to designate the law or group of laws.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegislationName,,,,plic,plic,http://rs.tdwg.org/plic/terms/,LegislationName
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/ProtectionLegalStatus-2022-11-08,ProtectionLegalStatus-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Protection Legal Status,Description of the legal status.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/ProtectionLegalStatus,,,,plic,plic,http://rs.tdwg.org/plic/terms/,ProtectionLegalStatus
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/LegislationRead-2022-11-08,LegislationRead-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Legislation Read,The oficial document in which the user can read the legislation.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegislationRead,,,,plic,plic,http://rs.tdwg.org/plic/terms/,LegislationRead
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/Status-2022-11-08,Status-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Status,"Whether a piece of legislation is in force, or superseded, etc.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/Status,,,,plic,plic,http://rs.tdwg.org/plic/terms/,Status
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/LegislationType-2022-11-08,LegislationType-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Legislation Type,Category of the piece of legislation.,,Hemos cambiado Type a LegislationType (03/11/22),http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegislationType,,,,plic,plic,http://rs.tdwg.org/plic/terms/,LegislationType
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/Norm-2022-11-08,Norm-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Norm,"Norms are general legal principles that are widely accepted. This acceptance is evidenced in a number of ways, such as international agreements, national legislation, domestic and international judicial decisions, and scholarly writings.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/Norm,,,,plic,plic,http://rs.tdwg.org/plic/terms/,Norm
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/AppliesTo-2022-11-08,AppliesTo-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Applies to,Location where the status is used.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo,,,,plic,plic,http://rs.tdwg.org/plic/terms/,AppliesTo
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/DispersalUnstructured-2022-11-08,DispersalUnstructured-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Unstructured Dispersal,Dispersal element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DispersalUnstructured
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/Purpose-2022-11-08,Purpose-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Purpose,Makes reference to any data being measured.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/Purpose,,,De tipo MeasurementOrFactClass,plic,plic,http://rs.tdwg.org/plic/terms/,Purpose
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/DispersalMeans-2022-11-08,DispersalMeans-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Dispersal Means,"VCR. Zoochory, Anemochory, Hydrochory, Barochory, Autochory.",,"Type of dispersal, a controlled vocabulary is recommended.",http://www.w3.org/2004/02/skos/core#ConceptScheme ,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/DispersalMeans,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DispersalMeans
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/StructureDispersed-2022-11-08,StructureDispersed-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Structure Dispersed ,"VCR: Seed, Fruit, Vegetative structure, Spores, Gametes, Eggs, Offspring and Individuals.",,"Structured that is dispersed for a given biologial propose, a controlled vocabulary is recommended.",http://www.w3.org/2004/02/skos/core#ConceptScheme ,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/StructureDispersed,,,,plic,plic,http://rs.tdwg.org/plic/terms/,StructureDispersed
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/Distance-2022-11-08,Distance-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Distance,Dispersal distance. e.g. 450 m.,,The distance reached by the structured dispersed.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property ,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/Distance,,,de tipo MeasurementOrFactClass ,plic,plic,http://rs.tdwg.org/plic/terms/,Distance
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/FeedingType-2022-11-08,FeedingType-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Feeding Type,Primary diet source. A controlled vocabulary is recommended.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,FeedingType
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/ecologicalSignificanceAtomized-2022-11-08,ecologicalSignificanceAtomized-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Atomized Ecological Significance,Ecological Significance element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EcologicalSignificance,/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/EcologicalSignificanceAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,ecologicalSignificanceAtomized
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/ecologicalSignificanceUnstructured-2022-11-08,ecologicalSignificanceUnstructured-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Unstructured Ecological Significance,Ecological Significance element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EcologicalSignificance,/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/EcologicalSignificanceUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,ecologicalSignificanceUnstructured
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/environmentalEnvelopeAtomized-2022-11-08,environmentalEnvelopeAtomized-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Atomized Environmental Envelope,Environmental envelope of a species expressed as an enumeration of measures and parameters.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,environmentalEnvelopeAtomized
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/environmentalEnvelopeUnstructured-2022-11-08,environmentalEnvelopeUnstructured-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Unstructured Environmental Envelope,environmentalEnvelope as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,environmentalEnvelopeUnstructured
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/feedingUnstructured-2022-11-08,feedingUnstructured-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Unstructured Feeding,feeding element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,feedingUnstructured
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/DistributionUnstructured-2022-11-08,DistributionUnstructured-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Unstructured Distribution,Distribution element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DistributionUnstructured
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/DistributionAtomized-2022-11-08,DistributionAtomized-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Atomized Distribution,Distribution element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DistributionAtomized
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/DistributionScope-2022-11-08,DistributionScope-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Distribution Scope,List of regions structured and categorized., ,"A controlled vocabulary is recommended. e.g. Historical, Current, Restricted and Wide. ",http://www.w3.org/2000/01/rdf-schema#Class   ,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/DistributionScope|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/DistributionScope|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionScope|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionScope,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DistributionScope
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/GeographicEntity-2022-11-08,GeographicEntity-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Geographic Entity,Name of the geographic entity. ,,A controlled vocabulary --as specified in the Catalogue element-- is recommended. e.g. Spain; Aguascalientas; Alabama; Ambon,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property ,,HabitatAndDistribution,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,GeographicEntity
2022-11-08T20:28:22-06:00,http://rs.tdwg.org/plic/terms/version/EndemicTo-2022-11-08,EndemicTo-2022-11-08,http://rs.tdwg.org/plic/terms/version/,2022-11-08,recommended,,,,Endemic To,A territory in which an endemic species appear. A controlled vocabulary is recommended. The term may go from local to above-country levels.,,"Examples: Giant panda (Ailuropoda melanoleuca (David, 1869) endemic to China. Quetzal Resplendent (Pharomachrus mocinno de la Llave, 1832) endemic to Mexico, Guatemala, Honduras, El Salvador, Nicaragua, Costa Rica and Panama.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicAtomized/EndemicTo,,,,plic,plic,http://rs.tdwg.org/plic/terms/,EndemicTo
