version,term_localName
http://rs.tdwg.org/plic/terms/version/References-2022-10-12,References
http://rs.tdwg.org/plic/terms/version/AnnualCycleUnstructured-2022-10-12,AnnualCycleUnstructured
http://rs.tdwg.org/plic/terms/version/StartTimeInterval-2022-10-12,StartTimeInterval
http://rs.tdwg.org/plic/terms/version/EndTimeInterval-2022-10-12,EndTimeInterval
http://rs.tdwg.org/plic/terms/version/Event-2022-10-12,Event
http://rs.tdwg.org/plic/terms/version/abstract-2022-10-12,abstract
http://rs.tdwg.org/plic/terms/version/Name-2022-10-12,Name
http://rs.tdwg.org/plic/terms/version/UsedBy-2022-10-12,UsedBy
http://rs.tdwg.org/plic/terms/version/commonNamesUnstructured-2022-10-12,commonNamesUnstructured
http://rs.tdwg.org/plic/terms/version/demographyAndThreatUnstructured-2022-10-12,demographyAndThreatUnstructured
http://rs.tdwg.org/plic/terms/version/legislationUnstructured-2022-10-12,legislationUnstructured
http://rs.tdwg.org/plic/terms/version/LegislationName-2022-10-12,LegislationName
http://rs.tdwg.org/plic/terms/version/ProtectionLegalStatus-2022-10-12,ProtectionLegalStatus
http://rs.tdwg.org/plic/terms/version/LegislationRead-2022-10-12,LegislationRead
http://rs.tdwg.org/plic/terms/version/Status-2022-10-12,Status
http://rs.tdwg.org/plic/terms/version/Type-2022-10-12,Type
http://rs.tdwg.org/plic/terms/version/Norm-2022-10-12,Norm
http://rs.tdwg.org/plic/terms/version/AppliesTo-2022-10-12,AppliesTo
http://rs.tdwg.org/plic/terms/version/DispersalUnstructured-2022-10-12,DispersalUnstructured
http://rs.tdwg.org/plic/terms/version/Purpose-2022-10-12,Purpose
http://rs.tdwg.org/plic/terms/version/Type-2022-10-12,Type
http://rs.tdwg.org/plic/terms/version/StructureDispersed-2022-10-12,StructureDispersed
http://rs.tdwg.org/plic/terms/version/Distance-2022-10-12,Distance
http://rs.tdwg.org/plic/terms/version/Type-2022-10-12,Type
http://rs.tdwg.org/plic/terms/version/ecologicalSignificanceAtomized-2022-10-12,ecologicalSignificanceAtomized
http://rs.tdwg.org/plic/terms/version/ecologicalSignificanceUnstructured-2022-10-12,ecologicalSignificanceUnstructured
http://rs.tdwg.org/plic/terms/version/environmentalEnvelopeAtomized-2022-10-12,environmentalEnvelopeAtomized
http://rs.tdwg.org/plic/terms/version/environmentalEnvelopeUnstructured-2022-10-12,environmentalEnvelopeUnstructured
http://rs.tdwg.org/plic/terms/version/feedingUnstructured-2022-10-12,feedingUnstructured
http://rs.tdwg.org/plic/terms/version/DistributionUnstructured-2022-10-12,DistributionUnstructured
http://rs.tdwg.org/plic/terms/version/DistributionAtomized-2022-10-12,DistributionAtomized
http://rs.tdwg.org/plic/terms/version/DistributionScope-2022-10-12,DistributionScope
http://rs.tdwg.org/plic/terms/version/GeographicEntity-2022-10-12,GeographicEntity
http://rs.tdwg.org/plic/terms/version/EndemicTo-2022-10-12,EndemicTo
http://rs.tdwg.org/plic/terms/version/EndemicIn-2022-10-12,EndemicIn
http://rs.tdwg.org/plic/terms/version/endemicUnstructured-2022-10-12,endemicUnstructured
http://rs.tdwg.org/plic/terms/version/habitatAtomized-2022-10-12,habitatAtomized
http://rs.tdwg.org/plic/terms/version/habitatAndDistributionUnstructured-2022-10-12,habitatAndDistributionUnstructured
http://rs.tdwg.org/plic/terms/version/habitatUnstructured-2022-10-12,habitatUnstructured
http://rs.tdwg.org/plic/terms/version/SpeciesInteraction-2022-10-12,SpeciesInteraction
http://rs.tdwg.org/plic/terms/version/SpeciesInteractionType-2022-10-12,SpeciesInteractionType
http://rs.tdwg.org/plic/terms/version/invasivenessAtomized-2022-10-12,invasivenessAtomized
http://rs.tdwg.org/plic/terms/version/invasivenessUnstructured-2022-10-12,invasivenessUnstructured
http://rs.tdwg.org/plic/terms/version/WhatImpact-2022-10-12,WhatImpact
http://rs.tdwg.org/plic/terms/version/vector-2022-10-12,vector
http://rs.tdwg.org/plic/terms/version/Route-2022-10-12,Route
http://rs.tdwg.org/plic/terms/version/impactTarget-2022-10-12,impactTarget
http://rs.tdwg.org/plic/terms/version/impactMechanism-2022-10-12,impactMechanism
http://rs.tdwg.org/plic/terms/version/lifeCycleAtomized-2022-10-12,lifeCycleAtomized
http://rs.tdwg.org/plic/terms/version/citation-2022-10-12,citation
http://rs.tdwg.org/plic/terms/version/Metadata-2022-10-12,Metadata
http://rs.tdwg.org/plic/terms/version/Dataset_ID-2022-10-12,Dataset_ID
http://rs.tdwg.org/plic/terms/version/Dataset-2022-10-12,Dataset
http://rs.tdwg.org/plic/terms/version/Routes-2022-10-12,Routes
http://rs.tdwg.org/plic/terms/version/AnnualCycles-2022-10-12,AnnualCycles
http://rs.tdwg.org/plic/terms/version/Behavior-2022-10-12,Behavior
http://rs.tdwg.org/plic/terms/version/LifeCycle-2022-10-12,LifeCycle
http://rs.tdwg.org/plic/terms/version/LifeForm-2022-10-12,LifeForm
http://rs.tdwg.org/plic/terms/version/MolecularData-2022-10-12,MolecularData
http://rs.tdwg.org/plic/terms/version/Reproduction-2022-10-12,Reproduction
http://rs.tdwg.org/plic/terms/version/EcologicalSignificance-2022-10-12,EcologicalSignificance
http://rs.tdwg.org/plic/terms/version/EnvironmentalEnvelope-2022-10-12,EnvironmentalEnvelope
http://rs.tdwg.org/plic/terms/version/Feeding-2022-10-12,Feeding
http://rs.tdwg.org/plic/terms/version/Synonyms-2022-10-12,Synonyms
http://rs.tdwg.org/plic/terms/version/BirthRate-2022-10-12,BirthRate
http://rs.tdwg.org/plic/terms/version/NumberIndividualsPerObservation-2022-10-12,NumberIndividualsPerObservation
http://rs.tdwg.org/plic/terms/version/AverageDensity-2022-10-12,AverageDensity
http://rs.tdwg.org/plic/terms/version/PopulationTrend-2022-10-12,PopulationTrend
http://rs.tdwg.org/plic/terms/version/Recruitment-2022-10-12,Recruitment
http://rs.tdwg.org/plic/terms/version/PopulationGrowthRate-2022-10-12,PopulationGrowthRate
http://rs.tdwg.org/plic/terms/version/Emigration-2022-10-12,Emigration
http://rs.tdwg.org/plic/terms/version/Immigration-2022-10-12,Immigration
http://rs.tdwg.org/plic/terms/version/DescriptionLifeStages-2022-10-12,DescriptionLifeStages
http://rs.tdwg.org/plic/terms/version/ProportionIndividualsPerStageLife-2022-10-12,ProportionIndividualsPerStageLife
http://rs.tdwg.org/plic/terms/version/CarryingCapacity-2022-10-12,CarryingCapacity
http://rs.tdwg.org/plic/terms/version/AbundanceData-2022-10-12,AbundanceData
http://rs.tdwg.org/plic/terms/version/DensityData-2022-10-12,DensityData
http://rs.tdwg.org/plic/terms/version/PatternDistribution-2022-10-12,PatternDistribution
http://rs.tdwg.org/plic/terms/version/Size-2022-10-12,Size
http://rs.tdwg.org/plic/terms/version/SexRatio-2022-10-12,SexRatio
http://rs.tdwg.org/plic/terms/version/Fecundity-2022-10-12,Fecundity
http://rs.tdwg.org/plic/terms/version/MortalityRate-2022-10-12,MortalityRate
http://rs.tdwg.org/plic/terms/version/Revision-2022-10-12,Revision
http://rs.tdwg.org/plic/terms/version/synonymsAtomized-2022-10-12,synonymsAtomized
http://rs.tdwg.org/plic/terms/version/synonymsType-2022-10-12,synonymsType
http://rs.tdwg.org/plic/terms/version/FullDescription-2022-10-12,FullDescription
http://rs.tdwg.org/plic/terms/version/BaseElements-2022-10-12,BaseElements
http://rs.tdwg.org/plic/terms/version/HabitatAndDistribution-2022-10-12,HabitatAndDistribution
http://rs.tdwg.org/plic/terms/version/IdentificationKeys-2022-10-12,IdentificationKeys
http://rs.tdwg.org/plic/terms/version/Invasiveness-2022-10-12,Invasiveness
http://rs.tdwg.org/plic/terms/version/NaturalHistory-2022-10-12,NaturalHistory
http://rs.tdwg.org/plic/terms/version/RecordMetadata-2022-10-12,RecordMetadata
http://rs.tdwg.org/plic/terms/version/taxonomicalDescription-2022-10-12,taxonomicalDescription
http://rs.tdwg.org/plic/terms/version/ExtentOfOccurrence-2022-10-12,ExtentOfOccurrence
http://rs.tdwg.org/plic/terms/version/AreaOfOccupancy-2022-10-12,AreaOfOccupancy
http://rs.tdwg.org/plic/terms/version/DirectThreats-2022-10-12,DirectThreats
http://rs.tdwg.org/plic/terms/version/DirectThreatAtomized-2022-10-12,DirectThreatAtomized
http://rs.tdwg.org/plic/terms/version/TrophicStrategy-2022-10-12,TrophicStrategy
http://rs.tdwg.org/plic/terms/version/TrophicStrategyRemarks-2022-10-12,TrophicStrategyRemarks
http://rs.tdwg.org/plic/terms/version/UsesUnstructured-2022-10-12,UsesUnstructured
http://rs.tdwg.org/plic/terms/version/SourceOfInformation-2022-10-12,SourceOfInformation
http://rs.tdwg.org/plic/terms/version/Use-Value-2022-10-12,Use-Value
http://rs.tdwg.org/plic/terms/version/PartUsed-2022-10-12,PartUsed
http://rs.tdwg.org/plic/terms/version/Users-2022-10-12,Users
http://rs.tdwg.org/plic/terms/version/Organisms-2022-10-12,Organisms
http://rs.tdwg.org/plic/terms/version/VernacularNameUseAnnotations-2022-10-12,VernacularNameUseAnnotations
http://rs.tdwg.org/plic/terms/version/ProductionDetails-2022-10-12,ProductionDetails
http://rs.tdwg.org/plic/terms/version/MeansOfApplication-Administration-2022-10-12,MeansOfApplication-Administration
