document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,definition,usage,notes,type,controlled_value_string,tdwgutility_organizedInClass,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri
2021-04-15T20:25:08-06:00,created,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,created,The date on which the resource was created.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,RecordMetadata,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,references,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,references,From EOL,,eol:referenceType,http://www.w3.org/2000/01/rdf-schema#Class,,Metadata,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,modified,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Modified,The Modified is the last date that the record was changed,,From GISIN: SpeciesStatus. http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/ProtocolSpecification.php#4.4.1.1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,startValidDate,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Start Valid Date,"The StartValidDate and EndValidDate represent the range of when a ""status"" data Model is valid. Data providers should return an empty element for the EndValidDate if the status is still current.",,From GISIN: SpeciesStatus. http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/ProtocolSpecification.php#4.4.1.1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,endValidDate,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,End Valid Date,"The StartValidDate and EndValidDate represent the range of when a ""status"" data Model is valid. Data providers should return an empty element for the EndValidDate if the status is still current.",,From GISIN: SpeciesStatus. http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/ProtocolSpecification.php#4.4.1.1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,language,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Language,"Language used to write the species information, use ISO 639-2 vocabulary.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,citation,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Citation,Publication date of the current version,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,memo,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Memo,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,publicationDate,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Publication Date,Publication date of the current version,,From GISIN: SpeciesStatus. http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/ProtocolSpecification.php#4.4.1.1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,annualCycleAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Annual Cycle,"AnnualCycles element in structured format.
",,,http://www.w3.org/2000/01/rdf-schema#Class,,AnnualCycles,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,annualCycleUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Annual Cycle,"AnnualCyles element in text block format.
",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,startTimeInterval,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Start Time Interval,"The date-time or interval at which an event starts. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).

A controlled vocabulary is recommended.",,"e.g. ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,endTimeInterval ,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,End Time Interval,"The date-time or interval at which an event ends. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).

A controlled vocabulary is recommended.",,"e.g. ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,Event,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Event,"An action that occurs at some location during some time.

A controlled vocabulary is recommended.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnnualCycles,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,abstract,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Abstract,A brief summary of the most relevant or attractive features of this taxón to the general public.  Could point to any kind of information. ,,"Example: Blue whale is the largest mammal in the world.
",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,BaseElements,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,taxonRecordID,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,taxon record id,Unique identifier of the record within the database,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,BaseElements,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,commonNamesAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Common Names,"commonNames element in structured format.

",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,commonNames,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Common Names,"The name of the common name.
",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,Name,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Name,"The name of the common name.
",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,Language,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Language,"Language used to write the species information, ISO 639-2 according to GBIF Metadata Profile.

",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
",,NomenclatureAndClassification,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,UsedIn,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Used In,"Location where de common name is used.

",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
",,NomenclatureAndClassification,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,UsedBy,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Used By,"Sometimes names used by one group of people are adopted by another.

",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property


",,NomenclatureAndClassification,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,commonNamesUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,unstructured common names,CommonNames element in text block format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,demographyAndThreatUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Demography And Threat,"demographyAndThreat element in unstructured format.
",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,legislation,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Legislation,A national proposed law or group of laws. A regional proposed law or group of laws.,,,http://www.w3.org/2000/01/rdf-schema#Class,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,territory,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,territory,"Information, mostly associated to vertebrates, referring to the territorial extension of the individual or group in terms of its activities (feeding, mating, etc.).",,,http://www.w3.org/2000/01/rdf-schema#Class,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,threatStatus,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,threat status,Information about the conservation status of the taxon.,,,http://www.w3.org/2000/01/rdf-schema#Class,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,PopulationBiology,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,population biology,"Description of the variations in time and space, as well as in the size and density of populations, and the factors that cause such variations",,,http://www.w3.org/2000/01/rdf-schema#Class,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,DispersalAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Dispersal,Dispersal element in structured format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,legislationAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Legislation,legislation element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,legislationUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Legislation,legislation element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,LegislationType,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Legislation Type,National and/or regional law or group of laws.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,LegislationName,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Legislation Name,Word or phrase to designate the law or group of laws.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
