document_modified,version,version_issued,standard_status,label,description,standard
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2015-03-27,2015-03-27,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2020-07-26T10:22:16-05:00,http://www.tdwg.org/standards/450/version/2014-12-23,2014-12-23,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2014-10-23,2014-10-23,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2013-05-25,2013-05-25,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2013-03-28,2013-03-28,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2011-10-16,2011-10-16,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2009-12-07,2009-12-07,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/450/version/2009-10-09,2009-10-09,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2020-01-27T09:18:59-06:00,http://www.tdwg.org/standards/638/version/2013-10-28,2013-10-28,superseded,Audubon Core,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections.,http://www.tdwg.org/standards/638
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/147/version/2017-04-25,2017-04-25,recommended,Standards Documentation Standard,A standard that documents how standards should be described in human- and machine-readable terms.,http://www.tdwg.org/standards/147
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/642/version/2017-04-25,2017-04-25,recommended,Vocabulary Maintenance Standard,A standard that describes the processes used to modify TDWG vocabularies and their associated documents.,http://www.tdwg.org/standards/642
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/150/version/2011-01-30,2011-01-30,recommended,GUID and Life Sciences Identifiers Applicability Statements,This standard provides guidance on how to use GUIDs to meet specific requirements of the biodiversity information community.,http://www.tdwg.org/standards/150
2017-09-23T06:53:00-05:00,http://www.tdwg.org/standards/449/version/2009-09-09,2009-09-09,recommended,TDWG Access Protocol for Information Retrieval (TAPIR),"TAPIR is a computer protocol designed for discovery, search and retrieval of distributed data over the Internet. ",http://www.tdwg.org/standards/449
2020-08-23T20:56:15-05:00,http://www.tdwg.org/standards/638/version/2020-01-27,2020-01-27,superseded,Audubon Core,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections.,http://www.tdwg.org/standards/638
2020-08-12T14:28:43-05:00,http://www.tdwg.org/standards/450/version/2017-10-06,2017-10-06,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2020-08-20T11:06:04-05:00,http://www.tdwg.org/standards/450/version/2020-08-12,2020-08-12,superseded,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2020-08-20T11:06:04-05:00,http://www.tdwg.org/standards/450/version/2020-08-20,2020-08-20,recommended,Darwin Core,"This vocabulary standard includes a glossary of terms intended to facilitate the sharing of information about biological diversity by providing identifiers, labels, and definitions. ",http://www.tdwg.org/standards/450
2020-08-23T20:56:15-05:00,http://www.tdwg.org/standards/638/version/2020-08-23,2020-08-23,recommended,Audubon Core,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections.,http://www.tdwg.org/standards/638
2020-09-22T00:50:55-06:00,http://www.tdwg.org/standards/x/version/2020-08-12,2020-08-12,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2021-01-08T20:32:13-06:00,http://www.tdwg.org/standards/x/version/2020-09-20,2020-09-20,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2021-02-23T20:55:45-06:00,http://www.tdwg.org/standards/x/version/2021-01-08,2021-01-08,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2021-04-15T20:25:22-06:00,http://www.tdwg.org/standards/x/version/2021-02-23,2021-02-23,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2021-05-13T19:53:02-06:00,http://www.tdwg.org/standards/x/version/2021-04-15,2021-04-15,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2021-05-17T19:22:23-06:00,http://www.tdwg.org/standards/x/version/2021-05-13,2021-05-13,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2022-02-23T18:49:56-06:00,http://www.tdwg.org/standards/x/version/2021-05-17,2021-05-17,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2022-06-14T10:37:31-06:00,http://www.tdwg.org/standards/x/version/2022-02-23,2022-02-23,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2022-06-22T18:46:48-06:00,http://www.tdwg.org/standards/x/version/2022-06-14,2022-06-14,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2022-06-24T18:55:54-06:00,http://www.tdwg.org/standards/x/version/2022-06-22,2022-06-22,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2022-10-07T19:42:10-06:00,http://www.tdwg.org/standards/x/version/2022-06-24,2022-06-24,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2022-10-12T21:47:45-06:00,http://www.tdwg.org/standards/x/version/2022-10-07,2022-10-07,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2022-11-08T20:28:33-06:00,http://www.tdwg.org/standards/x/version/2022-10-12,2022-10-12,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2023-05-12T18:13:56-06:00,http://www.tdwg.org/standards/x/version/2022-11-08,2022-11-08,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2023-06-16T18:07:16-06:00,http://www.tdwg.org/standards/x/version/2023-05-12,2023-05-12,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2023-07-14T20:42:12-06:00,http://www.tdwg.org/standards/x/version/2023-06-16,2023-06-16,superseded,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
2023-07-14T20:42:12-06:00,http://www.tdwg.org/standards/x/version/2023-07-14,2023-07-14,recommended,TDWG Test Standard,A standard for testing,http://www.tdwg.org/standards/x
